# index, _pos
265,"array([11.11402398,  1.16997189])"
266,"array([11.89309351,  1.27489951])"
267,"array([11.034956  ,  0.81435151])"
268,"array([ 7.18432021, -5.57540535])"
269,"array([ 6.93955733, -4.98139045])"
270,"array([ 7.49357555, -6.37205991])"
271,"array([ 6.72317947, -5.88012165])"
272,"array([ 8.33249633, -5.29989416])"
273,"array([ 7.37283201, -6.1422856 ])"
274,"array([ 8.1658755 , -4.91162603])"
275,"array([ 7.32098177, -5.37758818])"
276,"array([ 8.51872033, -6.55797262])"
277,"array([ 7.25910836, -5.83958408])"
278,"array([ 7.8005447 , -5.23003411])"
279,"array([ 7.61615252, -6.10116357])"
280,"array([ 8.07694772, -5.38535339])"
281,"array([ 6.19981669, -5.70649345])"
282,"array([ 6.63198667, -5.03537721])"
283,"array([ 7.98484078, -6.30530937])"
284,"array([ 6.53235296, -5.55776616])"
285,"array([ 7.15116157, -6.11246122])"
286,"array([ 7.0386408 , -4.62464621])"
287,"array([ 7.78677382, -6.17463263])"
288,"array([ 7.54751614, -5.15905456])"
289,"array([ 7.69306476, -5.61612737])"
290,"array([ 6.92718643, -5.62138446])"
291,"array([ 7.32289248, -4.88788987])"
292,"array([ 8.67958068, -5.97666715])"
293,"array([ 7.85534286, -5.03405392])"
294,"array([ 7.84492555, -5.41337814])"
295,"array([ 8.25052866, -6.2744105 ])"
296,"array([ 7.2087038 , -6.45838483])"
297,"array([ 7.89766736, -4.74213332])"
298,"array([ 7.21586504, -5.07544376])"
299,"array([ 6.26337094, -4.45201512])"
300,"array([ 7.45152374, -5.60292407])"
301,"array([ 6.84817898, -5.34270326])"
302,"array([ 7.94265372, -5.94450145])"
303,"array([ 7.58819345, -5.40169805])"
304,"array([ 7.90125975, -5.74988387])"
305,"array([ 7.6163677, -4.886019 ])"
306,"array([ 8.39642235, -5.85803369])"
307,"array([ 7.08178105, -5.26052858])"
308,"array([ 7.61954229, -6.62924467])"
309,"array([ 8.62556249, -5.75233241])"
310,"array([ 8.68681173, -5.51342038])"
311,"array([ 7.75536737, -6.46775104])"
312,"array([ 24.33162639, -40.12703976])"
313,"array([ 25.12886223, -39.94926594])"
314,"array([ 24.14029821, -39.32814291])"
315,"array([ 24.93671516, -39.1557042 ])"
316,"array([-13.00524909, -32.29982596])"
317,"array([-12.36376744, -33.03307825])"
318,"array([20.39971386, -0.06175325])"
319,"array([20.58102215,  0.2981126 ])"
320,"array([21.77660216, -0.14243052])"
321,"array([20.85606311,  0.07864706])"
322,"array([21.38178156, -0.36462682])"
323,"array([20.66529277, -0.32273855])"
324,"array([21.33754733,  0.4870241 ])"
325,"array([21.04691554, -0.21161206])"
326,"array([20.92139543,  0.4930101 ])"
327,"array([21.36250739,  0.91047119])"
328,"array([20.57137101,  0.71253152])"
329,"array([21.98910353,  0.19181241])"
330,"array([ 2.14787151e+01, -1.45188964e-02])"
331,"array([20.97523279,  0.87342113])"
332,"array([21.71870544, -0.54338925])"
333,"array([20.89969408, -0.55030475])"
334,"array([21.78254308,  0.65669545])"
335,"array([21.2288288 , -0.71249923])"
336,"array([21.65331634,  0.30183774])"
337,"array([19.58801282, -0.86795243])"
338,"array([21.18552149,  0.17202481])"
339,"array([20.85028621, -1.32886284])"
340,"array([20.10043395,  0.30559505])"
341,"array([-11.8244427 , -12.50520806])"
342,"array([-11.42493192, -12.70548331])"
343,"array([ -9.93560381, -12.52015775])"
344,"array([-12.85919145, -13.47062951])"
345,"array([-13.0926809 , -12.99829852])"
346,"array([-12.39565972, -13.68173505])"
347,"array([-12.33685101, -12.64226964])"
348,"array([-12.36915974, -13.2610144 ])"
349,"array([-11.94363865, -13.51248498])"
350,"array([-12.86891592, -12.55760386])"
351,"array([-12.58894114, -12.22846713])"
352,"array([-10.74777612, -12.69395778])"
353,"array([-11.4997013 , -13.19232267])"
